timestamp,frame,rr_interval,time
2000-01-01_00:02:14.394531+0000,34392,824.21875,2000-01-01_00:02:14.394531+0000
2000-01-01_00:02:15.210937+0000,34601,816.40625,2000-01-01_00:02:15.210937+0000
2000-01-01_00:02:16.039062+0000,34813,828.125,2000-01-01_00:02:16.039062+0000
2000-01-01_00:02:16.867187+0000,35025,828.125,2000-01-01_00:02:16.867187+0000
2000-01-01_00:02:17.667968+0000,35230,800.78125,2000-01-01_00:02:17.667968+0000
2000-01-01_00:02:18.488281+0000,35440,820.3125,2000-01-01_00:02:18.488281+0000
2000-01-01_00:02:19.320312+0000,35653,832.03125,2000-01-01_00:02:19.320312+0000
2000-01-01_00:02:20.152343+0000,35866,832.03125,2000-01-01_00:02:20.152343+0000
2000-01-01_00:02:20.996093+0000,36082,843.75,2000-01-01_00:02:20.996093+0000
2000-01-01_00:02:21.828125+0000,36295,832.03125,2000-01-01_00:02:21.828125+0000
2000-01-01_00:02:22.652343+0000,36506,824.21875,2000-01-01_00:02:22.652343+0000
2000-01-01_00:02:23.496093+0000,36722,843.75,2000-01-01_00:02:23.496093+0000
2000-01-01_00:02:24.328125+0000,36935,832.03125,2000-01-01_00:02:24.328125+0000
2000-01-01_00:02:25.156250+0000,37147,828.125,2000-01-01_00:02:25.156250+0000
2000-01-01_00:02:25.996093+0000,37362,839.84375,2000-01-01_00:02:25.996093+0000
2000-01-01_00:02:26.832031+0000,37576,835.9375,2000-01-01_00:02:26.832031+0000
2000-01-01_00:02:27.656250+0000,37787,824.21875,2000-01-01_00:02:27.656250+0000
2000-01-01_00:02:28.492187+0000,38001,835.9375,2000-01-01_00:02:28.492187+0000
2000-01-01_00:02:29.343750+0000,38219,851.5625,2000-01-01_00:02:29.343750+0000
2000-01-01_00:02:30.183593+0000,38434,839.84375,2000-01-01_00:02:30.183593+0000
2000-01-01_00:02:31.027343+0000,38650,843.75,2000-01-01_00:02:31.027343+0000
2000-01-01_00:02:31.875000+0000,38867,847.65625,2000-01-01_00:02:31.875000+0000
2000-01-01_00:02:32.707031+0000,39080,832.03125,2000-01-01_00:02:32.707031+0000
2000-01-01_00:02:33.527343+0000,39290,820.3125,2000-01-01_00:02:33.527343+0000
2000-01-01_00:02:34.355468+0000,39502,828.125,2000-01-01_00:02:34.355468+0000
2000-01-01_00:02:35.171875+0000,39711,816.40625,2000-01-01_00:02:35.171875+0000
2000-01-01_00:02:35.988281+0000,39920,816.40625,2000-01-01_00:02:35.988281+0000
2000-01-01_00:02:36.820312+0000,40133,832.03125,2000-01-01_00:02:36.820312+0000
2000-01-01_00:02:37.660156+0000,40348,839.84375,2000-01-01_00:02:37.660156+0000
2000-01-01_00:02:38.476562+0000,40557,816.40625,2000-01-01_00:02:38.476562+0000
2000-01-01_00:02:39.300781+0000,40768,824.21875,2000-01-01_00:02:39.300781+0000
2000-01-01_00:02:40.148437+0000,40985,847.65625,2000-01-01_00:02:40.148437+0000
2000-01-01_00:02:40.968750+0000,41195,820.3125,2000-01-01_00:02:40.968750+0000
2000-01-01_00:02:41.785156+0000,41404,816.40625,2000-01-01_00:02:41.785156+0000
2000-01-01_00:02:42.605468+0000,41614,820.3125,2000-01-01_00:02:42.605468+0000
2000-01-01_00:02:43.433593+0000,41826,828.125,2000-01-01_00:02:43.433593+0000
2000-01-01_00:02:44.261718+0000,42038,828.125,2000-01-01_00:02:44.261718+0000
2000-01-01_00:02:45.074218+0000,42246,812.5,2000-01-01_00:02:45.074218+0000
2000-01-01_00:02:45.902343+0000,42458,828.125,2000-01-01_00:02:45.902343+0000
2000-01-01_00:02:46.726562+0000,42669,824.21875,2000-01-01_00:02:46.726562+0000
2000-01-01_00:02:47.542968+0000,42878,816.40625,2000-01-01_00:02:47.542968+0000
2000-01-01_00:02:48.378906+0000,43092,835.9375,2000-01-01_00:02:48.378906+0000
2000-01-01_00:02:49.226562+0000,43309,847.65625,2000-01-01_00:02:49.226562+0000
2000-01-01_00:02:50.046875+0000,43519,820.3125,2000-01-01_00:02:50.046875+0000
2000-01-01_00:02:50.863281+0000,43728,816.40625,2000-01-01_00:02:50.863281+0000
2000-01-01_00:02:51.699218+0000,43942,835.9375,2000-01-01_00:02:51.699218+0000
2000-01-01_00:02:52.535156+0000,44156,835.9375,2000-01-01_00:02:52.535156+0000
2000-01-01_00:02:53.359375+0000,44367,824.21875,2000-01-01_00:02:53.359375+0000
2000-01-01_00:02:54.187500+0000,44579,828.125,2000-01-01_00:02:54.187500+0000
2000-01-01_00:02:55.031250+0000,44795,843.75,2000-01-01_00:02:55.031250+0000
2000-01-01_00:02:55.878906+0000,45012,847.65625,2000-01-01_00:02:55.878906+0000
2000-01-01_00:02:56.695312+0000,45221,816.40625,2000-01-01_00:02:56.695312+0000
2000-01-01_00:02:57.542968+0000,45438,847.65625,2000-01-01_00:02:57.542968+0000
2000-01-01_00:02:58.375000+0000,45651,832.03125,2000-01-01_00:02:58.375000+0000
2000-01-01_00:02:59.210937+0000,45865,835.9375,2000-01-01_00:02:59.210937+0000
2000-01-01_00:03:00.054687+0000,46081,843.75,2000-01-01_00:03:00.054687+0000
2000-01-01_00:03:00.878906+0000,46292,824.21875,2000-01-01_00:03:00.878906+0000
2000-01-01_00:03:01.695312+0000,46501,816.40625,2000-01-01_00:03:01.695312+0000
2000-01-01_00:03:02.527343+0000,46714,832.03125,2000-01-01_00:03:02.527343+0000
2000-01-01_00:03:03.363281+0000,46928,835.9375,2000-01-01_00:03:03.363281+0000
2000-01-01_00:03:04.179687+0000,47137,816.40625,2000-01-01_00:03:04.179687+0000
2000-01-01_00:03:05.015625+0000,47351,835.9375,2000-01-01_00:03:05.015625+0000
2000-01-01_00:03:05.859375+0000,47567,843.75,2000-01-01_00:03:05.859375+0000
2000-01-01_00:03:06.699218+0000,47782,839.84375,2000-01-01_00:03:06.699218+0000
2000-01-01_00:03:07.546875+0000,47999,847.65625,2000-01-01_00:03:07.546875+0000
2000-01-01_00:03:08.398437+0000,48217,851.5625,2000-01-01_00:03:08.398437+0000
2000-01-01_00:03:09.230468+0000,48430,832.03125,2000-01-01_00:03:09.230468+0000
2000-01-01_00:03:10.062500+0000,48643,832.03125,2000-01-01_00:03:10.062500+0000
2000-01-01_00:03:10.902343+0000,48858,839.84375,2000-01-01_00:03:10.902343+0000
2000-01-01_00:03:11.746093+0000,49074,843.75,2000-01-01_00:03:11.746093+0000
2000-01-01_00:03:12.550781+0000,49280,804.6875,2000-01-01_00:03:12.550781+0000
2000-01-01_00:03:13.386718+0000,49494,835.9375,2000-01-01_00:03:13.386718+0000
2000-01-01_00:03:14.214843+0000,49706,828.125,2000-01-01_00:03:14.214843+0000
2000-01-01_00:03:15.023437+0000,49913,808.59375,2000-01-01_00:03:15.023437+0000
2000-01-01_00:03:15.855468+0000,50126,832.03125,2000-01-01_00:03:15.855468+0000
2000-01-01_00:03:16.695312+0000,50341,839.84375,2000-01-01_00:03:16.695312+0000
2000-01-01_00:03:17.507812+0000,50549,812.5,2000-01-01_00:03:17.507812+0000
2000-01-01_00:03:18.320312+0000,50757,812.5,2000-01-01_00:03:18.320312+0000
2000-01-01_00:03:19.156250+0000,50971,835.9375,2000-01-01_00:03:19.156250+0000
2000-01-01_00:03:19.980468+0000,51182,824.21875,2000-01-01_00:03:19.980468+0000
2000-01-01_00:03:20.789062+0000,51389,808.59375,2000-01-01_00:03:20.789062+0000
2000-01-01_00:03:21.621093+0000,51602,832.03125,2000-01-01_00:03:21.621093+0000
2000-01-01_00:03:22.464843+0000,51818,843.75,2000-01-01_00:03:22.464843+0000
2000-01-01_00:03:23.257812+0000,52021,792.96875,2000-01-01_00:03:23.257812+0000
2000-01-01_00:03:24.074218+0000,52230,816.40625,2000-01-01_00:03:24.074218+0000
2000-01-01_00:03:24.914062+0000,52445,839.84375,2000-01-01_00:03:24.914062+0000
2000-01-01_00:03:25.734375+0000,52655,820.3125,2000-01-01_00:03:25.734375+0000
2000-01-01_00:03:26.550781+0000,52864,816.40625,2000-01-01_00:03:26.550781+0000
2000-01-01_00:03:27.375000+0000,53075,824.21875,2000-01-01_00:03:27.375000+0000
2000-01-01_00:03:28.195312+0000,53285,820.3125,2000-01-01_00:03:28.195312+0000
2000-01-01_00:03:29.015625+0000,53495,820.3125,2000-01-01_00:03:29.015625+0000
2000-01-01_00:03:29.835937+0000,53705,820.3125,2000-01-01_00:03:29.835937+0000
2000-01-01_00:03:30.671875+0000,53919,835.9375,2000-01-01_00:03:30.671875+0000
2000-01-01_00:03:31.500000+0000,54131,828.125,2000-01-01_00:03:31.500000+0000
2000-01-01_00:03:32.332031+0000,54344,832.03125,2000-01-01_00:03:32.332031+0000
2000-01-01_00:03:33.171875+0000,54559,839.84375,2000-01-01_00:03:33.171875+0000
2000-01-01_00:03:33.988281+0000,54768,816.40625,2000-01-01_00:03:33.988281+0000
2000-01-01_00:03:34.804687+0000,54977,816.40625,2000-01-01_00:03:34.804687+0000
2000-01-01_00:03:35.644531+0000,55192,839.84375,2000-01-01_00:03:35.644531+0000
2000-01-01_00:03:36.480468+0000,55406,835.9375,2000-01-01_00:03:36.480468+0000
2000-01-01_00:03:37.300781+0000,55616,820.3125,2000-01-01_00:03:37.300781+0000
2000-01-01_00:03:38.140625+0000,55831,839.84375,2000-01-01_00:03:38.140625+0000
2000-01-01_00:03:38.996093+0000,56050,855.46875,2000-01-01_00:03:38.996093+0000
2000-01-01_00:03:39.812500+0000,56259,816.40625,2000-01-01_00:03:39.812500+0000
2000-01-01_00:03:40.656250+0000,56475,843.75,2000-01-01_00:03:40.656250+0000
2000-01-01_00:03:41.507812+0000,56693,851.5625,2000-01-01_00:03:41.507812+0000
2000-01-01_00:03:42.343750+0000,56907,835.9375,2000-01-01_00:03:42.343750+0000
